Wall time,Step,Value
1758774244.1774585,22144,1.0
1758774245.2134635,30272,1.0
1758774245.4501348,32064,2.0
1758774253.5061584,49280,2.0
1758774254.5333302,57600,0.0
1758774255.2480094,63360,2.0
1758774258.90903,69184,4.0
1758774259.5226982,74368,7.0
1758774260.288727,80832,7.0
1758774265.2223032,97600,1.0
1758774269.1038074,105472,7.0
1758774274.3047285,124736,4.0
1758774274.4380078,125888,9.0
1758774278.8393161,138432,0.0
1758774279.6320367,145088,2.0
1758774283.937779,156800,0.0
1758774289.0473287,174784,0.0
1758774289.6630285,179904,3.0
1758774293.138415,184576,11.0
1758774293.3323383,186304,6.0
1758774293.8212447,190720,2.0
1758774294.0877504,193152,3.0
1758774298.721386,207680,3.0
1758774308.6800158,243136,1.0
1758774311.9644144,246464,1.0
1758774327.9411106,309568,7.0
1758774328.0137267,310208,0.0
1758774331.310955,313280,4.0
1758774331.8465507,318016,0.0
1758774335.9293094,327936,8.0
1758774336.971325,337152,2.0
1758774337.5989647,342592,6.0
1758774337.687028,343360,0.0
1758774340.892806,345792,0.0
1758774340.98626,346624,1.0
1758774341.8016896,353664,1.0
1758774350.8178854,380992,1.0
1758774355.4067683,395200,0.0
1758774355.6758773,397504,11.0
1758774355.6831264,397568,2.0
1758774356.33882,403456,0.0
1758774360.8032508,416960,1.0
1758774361.1630766,420224,6.0
1758774365.5041347,432320,4.0
1758774370.6883886,452032,3.0
1758774374.644123,461184,2.0
1758774375.176675,465984,3.0
1758774375.3951263,467968,0.0
1758774375.9256105,472704,2.0
1758774376.1146526,474368,0.0
1758774376.1359003,474560,3.0
1758774384.77217,498624,12.0
1758774388.8131657,508096,3.0
1758774390.339957,521664,3.0
1758774843.464552,532992,0.0
1758774843.6292543,534464,0.0
1758774847.5881464,542144,3.0
1758774847.741473,543360,5.0
1758774848.308234,548032,5.0
1758774852.7493029,560768,4.0
1758774852.8701584,561856,4.0
1758774862.3867428,593472,4.0
1758774867.3602924,610368,6.0
1758774872.5666606,629568,5.0
1758774872.6419368,630272,3.0
1758774882.4731555,664064,1.0
1758774883.2637486,670592,1.0
1758774887.0236309,677376,6.0
1758774887.2425272,679232,0.0
1758774888.334874,688128,3.0
1758774891.8435674,693056,6.0
1758774892.8697522,702144,0.0
1758774897.534513,717248,7.0
1758774907.1905403,749504,3.0
1758774916.0672612,771712,19.0
1758774916.7684958,777088,5.0
1758774917.0705762,779456,4.0
1758774921.990654,795008,4.0
1758774922.2143924,796800,5.0
1758774926.253304,805184,0.0
1758774927.7879004,818240,1.0
1758774932.1731312,830592,4.0
