Wall time,Step,Value
1758745730.8539844,21376,0.0
1758745731.7651372,29248,4.0
1758745731.965062,31040,5.0
1758745736.8495247,47680,1.0
1758745740.6201718,55040,4.0
1758745741.2007883,60288,0.0
1758745744.8013308,66368,1.0
1758745745.2951505,70848,4.0
1758745746.111017,78272,4.0
1758745750.911479,95168,1.0
1758745760.0935729,123264,0.0
1758745760.2061293,124224,0.0
1758745764.6290112,136640,0.0
1758745765.4746404,143424,1.0
1758745769.8954444,155072,2.0
1758745775.0370796,172864,6.0
1758745775.662651,178112,1.0
1758745779.3446565,183616,2.0
1758745779.6470532,186176,0.0
1758745780.2130837,190720,19.0
1758745780.535037,193600,9.0
1758745795.1496928,244160,4.0
1758745798.4336622,246784,4.0
1758745814.3231263,308544,0.0
1758745814.387132,309120,0.0
1758745817.6092923,311424,2.0
1758745818.2412882,316992,0.0
1758745819.3986495,327296,0.0
1758745823.4497664,336320,5.0
1758745824.0160363,341248,0.0
1758745824.1343114,342272,3.0
1758745827.2953403,344256,2.0
1758745827.407893,345280,6.0
1758745828.145227,352000,0.0
1758745837.43063,381440,0.0
1758745842.0248628,395904,4.0
1758745842.3662653,398976,2.0
1758745842.3805737,399104,0.0
1758745843.1356544,405312,3.0
1758745847.4146724,417088,2.0
1758745847.8738258,421248,8.0
1758745852.4159822,433472,4.0
1758745857.6285524,452800,0.0
1758745861.546202,461248,5.0
1758745862.070484,465984,0.0
1758745862.2464771,467520,1.0
1758745862.8384204,472512,0.0
1758745863.132044,474880,1.0
1758745866.1437654,475392,0.0
1758745871.7882302,499072,8.0
1758745872.7450125,507520,0.0
1758745877.5056756,522880,3.0
1758746332.1694403,533440,4.0
1758746332.3679926,535232,1.0
1758746336.4094582,544064,4.0
1758746336.6366737,546048,0.0
1758746337.0759056,549952,0.0
1758746341.4961624,561344,3.0
1758746341.6099122,562368,0.0
1758746351.1810052,594688,5.0
1758746361.2584844,631808,12.0
1758746371.2275646,668608,0.0
1758746374.886252,675136,0.0
1758746375.705843,682560,3.0
1758746375.921036,684480,8.0
1758746379.8775332,693568,3.0
1758746380.3903883,698112,8.0
1758746384.3177614,707072,3.0
1758746385.7029548,719424,4.0
1758746394.8670967,748672,5.0
1758746403.3441238,771648,6.0
1758746403.8784027,776384,11.0
1758746404.0956283,778304,0.0
1758746408.7291245,793216,7.0
1758746408.9382935,795008,3.0
1758746412.758484,803072,2.0
1758746414.1489918,815168,2.0
1758746418.524295,827840,0.0
1758746419.355862,835072,6.0
1758746423.2289937,843264,9.0
1758746423.747127,847744,6.0
1758746433.0134869,877824,4.0
1758746433.4574795,881728,6.0
1758746438.5961146,900672,6.0
1758746441.9462075,904128,6.0
1758746446.6676037,919552,8.0
1758746447.7898164,929344,5.0
1758746451.9537487,940224,12.0
1758746452.0193655,940800,4.0
1758746456.0181787,950464,2.0
1758746462.3591313,980416,4.0
1758746471.677033,1010496,4.0
1758746472.1657324,1014848,6.0
1758746476.4604628,1026560,11.0
1758746481.2542846,1042496,2.0
1758746938.4168446,1055552,4.0
1758746938.45891,1055936,0.0
1758746938.9990916,1060800,3.0
1758746942.697366,1067136,4.0
1758746943.2110062,1071744,2.0
1758746952.2970605,1098112,14.0
1758746958.0284245,1122496,1.0
1758746967.3477125,1153088,1.0
1758746981.360669,1197120,2.0
1758746981.5275896,1198592,5.0
1758746982.6296296,1208832,3.0
1758746986.6159594,1218368,20.0
1758746987.3586817,1224640,9.0
1758746990.896458,1229824,13.0
1758746991.5520854,1235200,3.0
1758746992.2408476,1240960,3.0
1758746992.2709343,1241216,4.0
1758746996.14964,1248896,7.0
1758746996.5401561,1252288,7.0
1758746997.3097558,1259008,11.0
1758746997.439976,1260224,9.0
1758747010.1529741,1294784,0.0
1758747015.110796,1311744,4.0
1758747020.4249103,1332160,9.0
1758747021.4134889,1340928,8.0
1758747025.1513596,1348352,3.0
1758747025.7109256,1353536,11.0
1758747039.126965,1393664,15.0
1758747049.2063305,1429248,6.0
1758747050.3448737,1438656,7.0
1758747050.3983612,1439104,9.0
1758747055.5572393,1457152,14.0
