Wall time,Step,Value
1758762913.6000953,23104,0.0
1758762914.9070225,31552,1.0
1758762919.3272727,33728,0.0
1758762925.9527588,51008,2.0
1758762927.0252914,58432,0.0
1758762927.75637,63424,0.0
1758762932.3450534,66368,0.0
1758762932.623575,68288,1.0
1758762933.4061286,73664,4.0
1758762934.5270576,81344,2.0
1758762940.748026,95424,6.0
1758762945.6084437,100160,3.0
1758762946.7530935,108032,4.0
1758762953.8403935,127488,8.0
1758762954.0386095,128832,0.0
1758762959.7868025,139520,2.0
1758762959.9648905,140736,0.0
1758762960.5230656,144512,2.0
1758762960.9386466,147328,1.0
1758762966.4798584,156224,0.0
1758762966.73852,158016,3.0
1758762973.9143772,178176,4.0
1758762978.925771,183680,3.0
1758762979.587523,188160,0.0
1758762979.9043796,190336,0.0
1758762980.6055665,195136,2.0
1758762985.152716,197248,1.0
1758762987.110241,210624,2.0
1758763000.3747692,243584,2.0
1758763005.0330827,246528,2.0
1758763026.8553667,308736,1.0
1758763026.9291277,309248,3.0
1758763031.554654,312128,9.0
1758763032.3032987,317248,9.0
1758763033.7485664,327040,1.0
1758763039.304484,336128,10.0
1758763040.063595,341376,0.0
1758763040.260108,342720,0.0
1758763044.7285259,344192,5.0
1758763044.8521483,345024,1.0
1758763045.7902458,351360,10.0
1758763058.1005926,377344,7.0
1758763060.1440666,391424,1.0
1758763064.871392,394560,1.0
1758763064.8824592,394624,7.0
1758763065.6709957,399936,4.0
1758763067.0514755,409408,4.0
1758763071.681466,412096,1.0
1758763072.240848,416000,5.0
1758763078.19615,427776,4.0
1758763085.2905614,447360,5.0
1758763086.48429,455680,0.0
1758763091.3705223,460288,3.0
1758763091.6502361,462208,2.0
1758763092.3632538,467136,4.0
1758763092.6754234,469312,1.0
1758763092.7145805,469568,3.0
1758763093.4790106,474944,2.0
1758763099.0631166,484160,2.0
1758763104.61,493120,2.0
1758763105.9500012,502272,4.0
1758763112.371365,517056,0.0
1758763687.0663548,528896,2.0
1758763687.3295865,530624,3.0
1758763688.5260885,538624,3.0
1758763688.6929984,539776,3.0
1758763693.6052477,544192,4.0
1758763695.3053186,555200,1.0
1758763695.5442398,556800,4.0
1758763708.598711,587136,3.0
1758763713.312792,590528,3.0
1758763715.668308,605696,0.0
1758763727.027328,624960,0.0
1758763727.1207328,625600,3.0
1758763728.0992367,632384,15.0
1758763740.6807094,660736,3.0
1758763741.6197002,666560,3.0
1758763741.6767228,666944,2.0
1758763747.029527,674368,4.0
1758763747.2802691,676096,10.0
1758763748.4751868,684352,4.0
1758763753.3375711,688320,1.0
1758763754.7121189,697024,11.0
1758763761.1495092,710784,2.0
1758763774.1580508,740992,2.0
1758763782.0624754,766208,8.0
1758763786.9702985,771072,3.0
1758763787.233631,772864,2.0
1758763789.0213394,785024,2.0
1758763793.6268032,787904,7.0
1758763794.057255,790848,8.0
1758763795.2155263,798720,0.0
1758763800.6825209,807232,5.0
1758763801.2005165,810688,4.0
1758763807.2332842,823104,8.0
1758763808.3611176,830720,1.0
1758763813.6098454,837824,1.0
1758763813.64722,838080,11.0
1758763814.119393,841280,3.0
1758763814.148705,841472,10.0
1758763814.3551555,842880,3.0
1758763827.394026,874048,20.0
1758763827.7496393,876352,10.0
1758763827.8449345,876992,4.0
1758763828.074777,878528,4.0
1758763835.1854527,898304,2.0
1758763839.9512806,902144,7.0
1758763842.1791692,917184,8.0
1758763848.140375,928832,11.0
1758763853.8748126,938816,12.0
1758763853.9973865,939648,2.0
1758763855.3821456,948864,0.0
1758763868.720843,981696,4.0
1758763881.6062982,1011584,3.0
1758763886.611538,1016640,21.0
1758763886.761928,1017664,13.0
1758763888.6381538,1030272,0.0
1758763894.4901226,1040704,3.0
1758763895.5118654,1047360,6.0
1758764470.2743063,1060800,0.0
1758764470.397313,1061632,1.0
1758764475.279232,1065984,6.0
1758764476.3310552,1072704,9.0
1758764476.9197865,1076480,3.0
1758764490.23524,1108032,1.0
1758764502.6824656,1134656,1.0
1758764515.871588,1164608,1.0
1758764536.4752197,1216000,28.0
1758764536.676471,1217408,6.0
1758764543.0652146,1231104,7.0
1758764544.4858816,1240320,20.0
1758764549.7042923,1247552,4.0
1758764550.528564,1252864,1.0
1758764551.388046,1258368,19.0
1758764556.3486936,1262592,14.0
1758764556.4648356,1263232,5.0
1758764557.8316233,1272256,3.0
1758764558.1105235,1274048,5.0
1758764563.5483673,1281280,9.0
1758764563.822655,1283136,17.0
1758764578.3454795,1322816,22.0
1758764584.738907,1337216,11.0
1758764590.0799758,1343936,6.0
1758764597.5101285,1364480,0.0
1758764599.0676112,1374656,6.0
1758764604.4836373,1382208,18.0
1758764605.7203171,1389504,17.0
1758764625.2489002,1431040,22.0
1758764625.5708122,1433088,55.0
1758764638.2266037,1461056,46.0
1758764639.5179517,1469824,6.0
1758764645.600548,1481280,52.0
1758764645.610555,1481344,7.0
1758764652.7185316,1499328,4.0
1758764653.8523989,1506560,20.0
1758764659.1329157,1512704,19.0
1758764660.11624,1518976,7.0
1758764665.6065657,1526912,12.0
1758764665.629627,1527040,40.0
1758764666.6324308,1533440,8.0
1758764666.7654915,1534272,15.0
1758764667.3236275,1537792,22.0
1758764674.3493092,1555456,14.0
1758764679.430845,1560448,1.0
1758764680.8473308,1568192,7.0
1758764681.416096,1571840,42.0
1758765250.7644606,1587328,32.0
1758765269.6275637,1626176,21.0
1758765269.6796038,1626496,48.0
1758765276.3004105,1641408,3.0
1758765278.2056773,1653376,23.0
1758765282.913633,1656448,4.0
1758765284.5129216,1667264,11.0
1758765289.5095387,1672320,16.0
1758765291.4713593,1685632,29.0
1758765302.9844291,1706688,9.0
1758765303.0131257,1706880,9.0
1758765309.595455,1722880,11.0
1758765310.255602,1727360,62.0
1758765343.0674827,1806208,3.0
1758765343.478912,1808960,10.0
1758765344.1186943,1812928,43.0
1758765350.170123,1824832,11.0
1758765351.0671375,1831104,35.0
1758765363.654189,1857920,6.0
1758765364.0922048,1860736,6.0
1758765377.98376,1896192,8.0
1758765389.7771723,1918208,8.0
1758765390.1936438,1921088,5.0
1758765437.1141174,2034048,26.0
1758765438.7521346,2044608,6.0
1758765444.3900306,2053760,2.0
1758765445.0736156,2058624,11.0
1758766028.6001103,2111616,14.0
1758766034.9836435,2125952,16.0
1758766048.2914832,2158272,24.0
1758766048.4305472,2159232,30.0
1758766067.004344,2198336,21.0
1758766067.724533,2203136,15.0
