Wall time,Step,Value
1758726285.5399148,22976,0.0
1758726286.7615225,31488,3.0
1758726291.0168169,33344,1.0
1758726297.5016918,50624,5.0
1758726298.7501085,59136,3.0
1758726299.4813828,64128,5.0
1758726303.9204662,67328,0.0
1758726304.2348158,69440,0.0
1758726304.8953888,73920,8.0
1758726310.0407064,82112,0.0
1758726311.8772595,94656,2.0
1758726316.6049495,99712,0.0
1758726317.706068,107264,0.0
1758726324.4813604,126272,2.0
1758726324.757681,128192,1.0
1758726330.2777004,138368,1.0
1758726330.3696053,139008,5.0
1758726330.936563,142912,12.0
1758726331.2780814,145280,0.0
1758726336.6235893,153920,2.0
1758726337.0155985,156480,2.0
1758726343.668589,173824,0.0
1758726344.5706847,179584,0.0
1758726349.3459105,184384,1.0
1758726349.7040744,186688,0.0
1758726350.4503257,191936,2.0
1758726350.742488,193792,3.0
1758726356.9001153,207168,1.0
1758726370.5697587,242688,0.0
1758726370.8986504,244992,3.0
1758726397.3021202,307072,1.0
1758726397.4115374,307840,6.0
1758726397.781537,310464,7.0
1758726402.6329093,315072,3.0
1758726404.2170396,324800,4.0
1758726409.797054,332672,0.0
1758726410.667386,338624,0.0
1758726410.8178399,339648,2.0
1758726411.1749218,342144,0.0
1758726411.3439758,343104,2.0
1758726416.721021,350464,2.0
1758726429.2974348,377088,3.0
1758726431.6814854,393216,4.0
1758726436.315506,395584,2.0
1758726436.3247783,395648,5.0
1758726437.1387093,401280,2.0
1758726442.716162,409728,1.0
1758726443.2356188,412736,0.0
1758726443.6588292,415360,10.0
1758726449.7911744,427328,6.0
1758726456.974895,446528,5.0
1758726458.318863,454464,14.0
1758726463.3672938,458944,5.0
1758726463.7319727,461184,3.0
1758726464.4689705,465664,6.0
1758726464.7125983,467264,3.0
1758726464.7712677,467648,0.0
1758726465.6306748,473152,0.0
1758726471.4861295,483584,0.0
1758726477.2275405,491904,0.0
1758726478.6077383,500800,4.0
1758726485.0250466,515776,5.0
1758727058.0504293,528192,2.0
1758727058.3346095,530176,0.0
1758727059.4662461,538112,3.0
1758727059.6850047,539648,9.0
1758727064.5775247,544064,1.0
1758727066.3474083,555584,1.0
1758727066.5021799,556608,5.0
1758727079.1846585,584576,0.0
1758727079.6863158,588032,3.0
1758727086.5631466,605056,3.0
1758727097.9766994,625280,3.0
1758727098.0331516,625664,1.0
1758727112.0261264,661504,2.0
1758727112.9002628,667520,1.0
1758727113.020689,668352,6.0
1758727118.1558561,674944,2.0
1758727118.4044576,676672,1.0
1758727119.8203368,685760,1.0
1758727124.8478022,691136,2.0
1758727126.2973888,700992,5.0
1758727132.500361,714944,11.0
1758727145.9896846,747392,4.0
1758727158.3016732,772352,4.0
1758727159.0931416,777536,1.0
1758727159.3897152,779520,3.0
1758727165.9531991,794624,12.0
1758727166.2937796,796864,2.0
1758727171.7693403,804992,9.0
1758727173.6264887,817664,8.0
1758727179.7310421,830912,1.0
1758727185.1987262,839168,1.0
1758727186.3974597,847040,14.0
1758727186.9632425,850816,6.0
1758727187.0380197,851264,2.0
1758727191.390698,852352,9.0
1758727200.2266786,883392,1.0
1758727204.9192586,886528,9.0
1758727205.0569034,887424,7.0
1758727205.2417305,888576,4.0
1758727212.6369002,909888,8.0
1758727213.0859947,912640,4.0
1758727219.6620853,928192,6.0
1758727225.5800898,939136,2.0
1758727227.2503426,950208,5.0
1758727231.57545,950848,12.0
1758727232.9348383,959744,4.0
1758727246.3181493,992192,7.0
1758727259.2563608,1021632,6.0
1758727259.993741,1026688,7.0
1758727260.0505295,1027072,8.0
1758727266.2342489,1039296,5.0
1758727839.1911063,1049600,4.0
1758727840.336734,1057472,5.0
1758727846.553792,1070720,5.0
1758727846.6389358,1071296,1.0
1758727847.3719547,1076224,9.0
1758727852.5036302,1082112,8.0
1758727853.12876,1086336,2.0
1758727866.0052965,1116032,2.0
1758727873.8350751,1140608,24.0
1758727886.862302,1172416,6.0
1758727906.3577633,1219392,21.0
1758727906.5855258,1220928,3.0
1758727912.826136,1234560,19.0
1758727913.997484,1242624,6.0
1758727918.9036264,1247424,7.0
1758727919.6244988,1252352,3.0
1758727920.427087,1257792,21.0
1758727925.3001935,1262272,20.0
1758727925.3371046,1262528,9.0
1758727926.8510373,1272768,8.0
1758727927.1726503,1274944,6.0
1758727932.2377145,1280832,36.0
1758727932.3974419,1281920,19.0
1758727946.5022871,1320704,28.0
1758727952.5992553,1333824,10.0
1758727953.5325115,1340160,8.0
1758727965.1967652,1362176,5.0
1758727966.4574618,1370816,22.0
1758727972.1014671,1380608,14.0
1758727973.0061443,1386752,11.0
1758727991.9991133,1430080,0.0
1758727992.2125506,1431552,5.0
1758728004.9536061,1460672,4.0
1758728006.47507,1471040,7.0
1758728012.1764188,1481088,17.0
1758728012.1855958,1481152,29.0
1758728019.2700374,1500672,10.0
1758728024.4936757,1507456,15.0
1758728025.4321263,1513792,11.0
1758728026.1656954,1518848,18.0
1758728031.285746,1524800,7.0
1758728031.305759,1524928,6.0
1758728032.282062,1531456,22.0
1758728032.5791106,1533504,5.0
1758728033.0013716,1536384,23.0
1758728039.681748,1553088,2.0
1758728045.1004972,1560768,12.0
1758728046.062167,1566912,10.0
1758728046.655388,1570944,33.0
1758728618.917147,1583936,14.0
1758728632.8267086,1621120,29.0
1758728632.8732197,1621440,3.0
1758728639.1232014,1634752,5.0
1758728645.1237185,1646400,19.0
1758728645.6273444,1649920,10.0
1758728651.365094,1660352,6.0
1758728652.064319,1665024,6.0
1758728657.801035,1675328,11.0
1758728664.7596002,1694016,9.0
1758728664.9265041,1695168,28.0
1758728671.4314392,1710656,20.0
1758728672.085371,1715136,39.0
1758728705.612988,1800832,21.0
1758728710.511302,1805440,2.0
1758728711.0333967,1808960,16.0
1758728716.9006476,1819904,14.0
1758728718.1703484,1828416,20.0
1758728730.1826193,1852928,17.0
1758728730.3513944,1854080,16.0
1758728743.37003,1885632,2.0
1758728750.1736047,1903488,19.0
1758728750.7318418,1907264,11.0
1758728798.1890738,2028736,11.0
1758728803.7061222,2037440,41.0
1758728804.956613,2046016,61.0
1758728809.9321408,2051136,8.0
1758729395.0784125,2098240,29.0
1758729402.0078268,2116352,11.0
