Wall time,Step,Value
1758758039.1014206,23552,1.0
1758758040.0096304,32384,1.0
1758758042.298051,33920,0.0
1758758046.1338122,50240,0.0
1758758046.8920996,57600,0.0
1758758047.3894124,62400,0.0
1758758049.8483717,65600,1.0
1758758050.1248107,68288,0.0
1758758050.6549075,73408,2.0
1758758051.3811483,80448,0.0
1758758054.9355142,93952,5.0
1758758057.6481473,99328,4.0
1758758058.4801059,107328,0.0
1758758062.7623563,128128,1.0
1758758062.8872492,129344,1.0
1758758066.203273,140736,1.0
1758758066.360204,142208,2.0
1758758066.8034003,146304,13.0
1758758069.2117064,148800,4.0
1758758070.0358381,156544,4.0
1758758070.3171434,159232,1.0
1758758074.424225,177856,4.0
1758758077.077525,182976,5.0
1758758077.5281312,187264,1.0
1758758077.8029296,189888,2.0
1758758078.2571898,194240,4.0
1758758078.4605846,196160,1.0
1758758082.0940635,210432,0.0
1758758092.286105,246336,0.0
1758758092.6150625,249472,3.0
1758758105.571734,311168,2.0
1758758107.8076706,311936,3.0
1758758108.0314806,314048,6.0
1758758108.6641488,320000,5.0
1758758111.8276777,329728,7.0
1758758112.7246554,338240,0.0
1758758115.468877,344128,1.0
1758758115.5439994,344832,11.0
1758758115.7974648,347200,3.0
1758758115.913826,348288,12.0
1758758116.5490782,354368,8.0
1758758123.8738618,383232,1.0
1758758127.5297706,397568,0.0
1758758127.8336375,400448,5.0
1758758127.8541038,400640,2.0
1758758128.3984,405824,2.0
1758758131.4815063,414848,8.0
1758758131.7981236,417920,3.0
1758758132.1481426,421248,3.0
1758758135.6226258,434112,1.0
1758758139.6926656,452480,3.0
1758758142.8312013,461888,1.0
1758758143.314703,466496,3.0
1758758143.520554,468480,6.0
1758758144.0762475,473792,1.0
1758758146.388105,475456,4.0
1758758146.428008,475840,5.0
1758758147.0327501,481664,3.0
1758758148.0431015,491200,2.0
1758758151.1724458,500480,2.0
1758758154.1836758,508672,2.0
1758758155.6736362,522816,9.0
1758758462.470725,534336,0.0
1758758462.6505084,535936,1.0
1758758465.817984,543872,2.0
1758758465.9543774,545088,1.0
1758758466.4198077,549312,3.0
1758758469.9028258,561024,3.0
1758758470.0368834,562304,0.0
1758758477.6243706,591616,0.0
1758758477.990568,595072,7.0
1758758482.008679,612160,3.0
1758758486.2051885,630464,4.0
1758758486.2407727,630784,5.0
1758758494.368235,665536,4.0
1758758494.9544306,670464,1.0
1758758495.0486016,671296,0.0
1758758497.9741497,678592,9.0
1758758498.172857,680448,1.0
1758758501.2657325,689024,5.0
1758758501.7181208,693120,2.0
1758758502.657482,702080,6.0
1758758506.2300434,714816,0.0
1758758513.6495895,743232,5.0
1758758518.2763572,766144,21.0
1758758518.6873884,770048,5.0
1758758521.0925448,772288,8.0
1758758522.201497,782784,7.0
1758758522.5415695,785984,3.0
1758758524.9256847,787840,6.0
1758758525.894851,796608,0.0
1758758529.3678553,808448,5.0
1758758532.7966583,820352,0.0
1758758533.7015843,828288,1.0
1758758536.70112,835840,1.0
1758758537.0578053,839168,6.0
1758758537.0647368,839232,2.0
1758758537.1967711,840448,0.0
1758758544.5879571,868736,6.0
1758758544.8393843,871040,4.0
1758758544.9588025,872128,1.0
1758758545.153623,873984,5.0
1758758549.432925,893440,1.0
1758758549.7671366,896512,13.0
1758758553.6381555,912320,3.0
1758758556.7387187,921344,1.0
1758758558.029125,932928,2.0
1758758558.0841887,933440,3.0
1758758561.231957,942848,17.0
1758758569.1449568,976192,4.0
1758758576.9466274,1007424,3.0
1758758577.4257908,1011584,4.0
1758758577.4548626,1011840,5.0
1758758580.846257,1023488,3.0
1758758584.2593508,1034816,12.0
1758758584.9506657,1041280,1.0
1758758893.202814,1055744,3.0
1758758893.2802243,1056448,7.0
1758758893.7385209,1060672,3.0
1758758896.6898036,1066624,16.0
1758758897.1642265,1071104,1.0
1758758902.2508495,1097536,5.0
1758758909.269709,1121856,5.0
1758758917.0871468,1153920,13.0
1758758928.69705,1201920,3.0
1758758928.818901,1203072,3.0
1758758932.4003012,1216512,19.0
1758758933.0890107,1222912,30.0
1758758935.9088204,1228864,5.0
1758758936.4995115,1234432,55.0
1758758937.1768,1240832,13.0
1758758937.6009061,1244736,18.0
1758758937.6159282,1244864,13.0
1758758940.738344,1253888,7.0
1758758940.9489768,1255872,14.0
1758758943.8387086,1262528,4.0
1758758943.9435656,1263488,20.0
1758758951.9243267,1297280,12.0
1758758953.3518198,1310400,2.0
1758758956.062072,1315648,0.0
1758758960.378858,1335680,16.0
1758758961.190206,1343232,1.0
1758758964.0644195,1349568,33.0
1758758964.6482897,1354944,7.0
1758758972.5624886,1388672,23.0
1758758972.7255735,1390208,19.0
1758758979.6783257,1414720,12.0
1758758980.717628,1424448,2.0
1758758983.6862817,1432192,5.0
1758758983.6998594,1432320,9.0
1758758987.8314364,1450880,15.0
1758758988.5312066,1457536,6.0
1758758991.431858,1464384,23.0
1758758992.0434997,1469888,53.0
1758758995.022096,1477568,3.0
1758758995.0355258,1477696,9.0
1758758995.5915453,1482880,18.0
1758758995.7375278,1484224,11.0
1758758995.9937093,1486656,7.0
1758758999.974322,1502976,11.0
1758759002.7835572,1508992,56.0
1758759003.548728,1515648,21.0
1758759003.9911046,1519488,8.0
1758759007.5880253,1532608,10.0
1758759015.927056,1569088,15.0
1758759015.9901016,1569664,8.0
