Wall time,Step,Value
1758737901.7423608,21696,7.0
1758737902.6573448,30400,0.0
1758737902.828782,32064,3.0
1758737909.1513364,50304,2.0
1758737909.9661562,57664,1.0
1758737910.6285942,64000,7.0
1758737913.0793915,67008,0.0
1758737913.3381736,69504,5.0
1758737913.9048574,74816,5.0
1758737916.9460776,82944,5.0
1758737918.2861419,95680,0.0
1758737920.9035845,100224,2.0
1758737921.6256125,106944,1.0
1758737925.840017,125888,0.0
1758737925.993258,127296,7.0
1758737929.4737346,139392,4.0
1758737929.6541822,141120,1.0
1758737930.114006,145280,2.0
1758737932.5665033,148096,7.0
1758737933.485124,156800,1.0
1758737933.7963867,159360,3.0
1758737937.7692177,176640,3.0
1758737940.425979,181568,2.0
1758737940.9663813,186624,10.0
1758737941.1694212,188480,2.0
1758737941.6880746,193344,1.0
1758737941.866401,195008,3.0
1758737945.6255934,209728,11.0
1758737953.8270118,244928,3.0
1758737956.220772,247360,3.0
1758737969.4170384,309888,0.0
1758737969.4642322,310336,10.0
1758737971.9226818,313152,0.0
1758737972.569151,318528,0.0
1758737975.758609,328064,0.0
1758737976.7047985,337088,0.0
1758737977.270071,341824,1.0
1758737977.4340303,343360,0.0
1758737979.8183157,345408,0.0
1758737979.92952,346432,2.0
1758737980.6981916,353792,2.0
1758737987.8736894,380160,3.0
1758737991.7830567,395200,2.0
1758737992.0794206,397824,3.0
1758737992.0865753,397888,2.0
1758737992.7015727,403200,9.0
1758737995.9011965,412864,0.0
1758737996.224802,415680,0.0
1758737996.5707266,418752,1.0
1758738000.038436,430656,0.0
1758738004.3318489,450304,0.0
1758738007.5779033,459968,4.0
1758738008.0884378,464768,5.0
1758738008.3168998,466944,3.0
1758738008.7855484,471424,3.0
1758738009.004823,473536,6.0
1758738009.057422,474048,4.0
1758738011.8827925,479296,10.0
1758738012.9563553,488768,4.0
1758738016.1043105,497792,2.0
1758738017.0387778,506304,4.0
1758738020.681174,519488,0.0
1758738327.5465233,530816,0.0
1758738327.7046273,532352,4.0
1758738330.8666208,540928,1.0
1758738330.9853692,542080,4.0
1758738331.4806027,546752,4.0
1758738335.0660772,559296,0.0
1758738335.1844275,560384,6.0
1758738340.3952267,588608,2.0
1758738342.872989,591680,2.0
1758738346.997924,610240,2.0
1758738351.350663,630656,1.0
1758738351.3848302,630976,1.0
1758738352.016172,636928,4.0
1758738359.4590812,665856,1.0
1758738360.051708,671488,6.0
1758738362.2705252,672192,3.0
1758738362.9934824,678848,6.0
1758738363.18248,680576,0.0
1758738366.2216768,688832,3.0
1758738366.7392864,693696,5.0
1758738367.5660403,701376,4.0
1758738371.1267424,714496,0.0
1758738378.260787,740736,0.0
1758738382.8397264,763264,7.0
1758738383.356661,768128,7.0
1758738383.5560174,769984,5.0
1758738386.9190125,781056,3.0
1758738387.3384683,784832,10.0
1758738389.6648498,786560,14.0
1758738390.4246113,793664,3.0
1758738393.7643774,804800,9.0
1758738395.196797,817984,13.0
1758738398.2566733,826496,1.0
1758738398.9415348,832768,4.0
1758738398.9962704,833280,5.0
1758738401.447293,836160,0.0
1758738401.4541533,836224,4.0
1758738401.5705445,837312,5.0
1758738406.7018669,865152,9.0
1758738406.9474592,867456,3.0
1758738407.016333,868096,0.0
1758738409.3126247,869376,8.0
1758738413.5099678,888384,17.0
1758738413.8601048,891648,6.0
1758738417.585842,905792,11.0
1758738418.70755,916032,6.0
1758738421.875217,925248,3.0
1758738422.0381625,926848,1.0
1758738425.0762808,935232,0.0
1758738430.309798,964224,1.0
1758738437.5002909,991040,0.0
1758738438.0064707,995776,0.0
1758738438.0961237,996608,4.0
1758738441.4108372,1007360,5.0
1758738444.6883848,1017408,1.0
1758738445.3533897,1023424,8.0
1758738448.8380363,1036096,7.0
1758738448.931386,1036928,12.0
1758738449.3444984,1040704,6.0
1758738449.9380677,1046272,5.0
1758738757.0201082,1050048,12.0
1758738762.0150228,1075200,5.0
1758738766.5884104,1096320,5.0
1758738773.9605687,1123712,8.0
1758738785.2850323,1167424,9.0
1758738785.383991,1168256,2.0
1758738786.6265118,1179520,5.0
1758738789.4412036,1185856,9.0
1758738790.1442714,1192256,1.0
1758738792.862484,1196992,4.0
1758738793.380896,1201664,2.0
1758738793.8081377,1205632,15.0
1758738793.8290837,1205824,1.0
1758738796.751151,1213056,3.0
1758738796.966777,1214976,1.0
1758738797.7389688,1221376,3.0
1758738797.916883,1222848,6.0
1758738805.599442,1254016,8.0
1758738808.9384744,1265088,9.0
1758738809.5193276,1270656,1.0
1758738813.5456324,1287936,6.0
1758738816.3912215,1294400,4.0
1758738817.1700332,1300992,6.0
1758738817.849782,1307008,4.0
1758738825.7311301,1339072,7.0
1758738825.8590634,1340224,16.0
1758738832.6003973,1362368,34.0
1758738833.5174215,1370816,5.0
1758738836.422827,1377856,8.0
1758738836.4299161,1377920,4.0
1758738840.6021981,1395712,1.0
1758738841.3516636,1402752,10.0
1758738841.9021232,1407744,22.0
1758738844.597974,1411840,1.0
1758738845.2624674,1417792,10.0
1758738845.270069,1417856,6.0
1758738845.7711325,1422336,0.0
1758738845.944615,1423808,3.0
1758738848.363323,1426432,15.0
1758738849.8894,1440704,2.0
1758738852.631402,1445568,25.0
1758738853.4028668,1452736,9.0
1758738853.7598438,1456128,2.0
1758738857.0734613,1466176,3.0
1758738864.4619124,1493504,7.0
1758738864.5189712,1494016,1.0
1758738865.5653825,1503360,10.0
1758738868.7460625,1512960,6.0
1758738869.0499024,1515776,6.0
1758738869.8787835,1523264,9.0
1758738872.3058062,1525696,17.0
1758738873.205816,1533824,10.0
